"0 name";"1 number phone";"2 age";"3 Address";"4 email"
"Kristina Miller";"+38093918679";"47";"57 Lafayette avenue apartment-36  Louisville 61315-cod in USA";"sofia.1993@ukr.net"
"Marya King";"+38093575376";"26";"92 Fort Greene lane apartment-67  Memphis 49682-cod in USA";"antony.1975@ukr.net"
"Anastasia Walker";"+380501196828";"37";"60 Park boulevard apartment-13  Denver 44268-cod in USA";"mery.1974@ukr.net"
"Verona Anderson";"+380505271052";"31";"86 Boulevard street apartment-180  Milwaukee 26906-cod in USA";"donald.1985@mail.ru"
"Henry Williams";"+380639119671";"58";"94 Bayswater avenue apartment-158  Kansas City 12988-cod in USA";"roman.1969@gmail.com"
"Anastasia Lewis";"+380661625705";"31";"6 Fort Greene avenue apartment-18  Charlotte 77360-cod in USA";"den_1978@io.ua"
"Anastasia Anderson";"+380993259826";"54";"18 Bedford-Stuyvesant  court apartment-123  El Paso 83218-cod in USA";"henry-2003@ukr.net"
"Mery Scott";"+380956926657";"58";"42 Fort Greene avenue apartment-198  Baltimore 51874-cod in USA";"julia.1978@ukr.net"
"Antony Davis";"+380633268620";"59";"97 Bayswater boulevard apartment-133  Honolulu 24565-cod in USA";"german2001@ukr.net"
"Bob Robinson";"+38068935226";"40";"16 Cadman Plaza West avenue apartment-168  ColumbusFort Worth 19599-cod in USA";"verona1994@ukr.net"
