"0 name";"1 number phone";"2 age";"3 Address";"4 email"
"Bob Williams";"+380989679200";"54";"76 Cadman Plaza West avenue apartment-105  Oklahoma City 32439-cod in USA";"den_1984@ukr.net"
"Jon Harries";"+380933126671";"59";"29 Metro North court apartment-188  Los Angeles 53232-cod in USA";"henry1975@gmail.com"
"Roman Robinson";"+380988811149";"28";"86 Ferry Road boulevard apartment-89  Mesa 32398-cod in USA";"sofia-1986@ukr.net"
"German White";"+380958014325";"47";"93 Park avenue apartment-105  Minneapolis 89275-cod in USA";"anastasia-1951@mail.ru"
"Kristina Lewis";"+380507047534";"24";"58 Parkway street apartment-168  San Antonio 24540-cod in USA";"nait1954@ukr.net"
"Marina Williams";"+380992624766";"27";"82 St. Mark’s  street apartment-45  Omaha 93652-cod in USA";"den1990@io.ua"
"Harry Smith";"+380987783292";"16";"99 Belle Harbor terrace apartment-199  ColumbusFort Worth 47316-cod in USA";"clara-1973@mail.ru"
"Jane King";"+380993204006";"53";"8 Breezy Point court apartment-93  ColumbusFort Worth 11891-cod in USA";"julia1994@mail.ru"
"Sofia Robinson";"+380681113874";"25";"85 Rockaway court apartment-197  Oakland 36215-cod in USA";"jane1984@io.ua"
"Lena White";"+380987542048";"14";"29 Lafayette boulevard apartment-174  Milwaukee 80410-cod in USA";"roman-1982@gmail.com"
"Marina White";"+380935660829";"51";"92 Parkway boulevard apartment-132  Sacramento 60512-cod in USA";"bob_1988@gmail.com"
"Anastasia Jones";"+380687175777";"39";"76 El Barrio lane apartment-91  New York 50710-cod in USA";"kristina-1988@gmail.com"
"Jason Jackson";"+380635557588";"40";"14 Rockaway Freeway avenue apartment-23  Houston 37777-cod in USA";"donald_1976@ukr.net"
"German Taylor";"+380661456265";"33";"12 Dyre court apartment-140  Houston 40882-cod in USA";"frank-1996@ukr.net"
"Roman Miller";"+380506423321";"29";"18 Parkway boulevard apartment-78  El Paso 73677-cod in USA";"henry1995@io.ua"
"Den Clark";"+38095757807";"51";"17 Bedford-Stuyvesant boulevard apartment-91  Raleigh 79304-cod in USA";"german_1961@io.ua"
"Jek Thomas";"+380935871410";"26";"3 Canarsie terrace apartment-146  Charlotte 82801-cod in USA";"kristina-1972@gmail.com"
"Clara RodriguezMartinez";"+380501216452";"24";"7 Lafayette terrace apartment-170  Boston 58098-cod in USA";"den_1997@ukr.net"
"Nait Torres";"+380939357308";"42";"28 Clinton Hill street apartment-90  San Jose 32024-cod in USA";"mery-1961@gmail.com"
"Anastasia Hill";"+380983966906";"54";"55 Bayswater lane apartment-121  New York 31371-cod in USA";"jon.1953@mail.ru"
"Bob Lopez";"+380939269497";"15";"16 Bedford-Stuyvesant  boulevard apartment-30  Minneapolis 58217-cod in USA";"olga.1952@mail.ru"
"Viola Young";"+380639985494";"44";"86 Ozone Park lane apartment-101  Tulsa 46670-cod in USA";"roman_2002@io.ua"
"Bob Williams";"+380506061786";"28";"11 Fort Greene avenue apartment-73  Oklahoma City 93550-cod in USA";"clara.1986@gmail.com"
"Nait Hill";"+380637425045";"23";"41 El Barrio street apartment-123  Minneapolis 6346-cod in USA";"donald.1968@mail.ru"
"Mery Lee";"+380953423762";"42";"32 Clinton Hill avenue apartment-51  Kansas City 12723-cod in USA";"jek_1990@ukr.net"
"Mery Hill";"+380956767507";"54";"38 Rockaway terrace apartment-144  Charlotte 29354-cod in USA";"verona-1987@ukr.net"
"Verona Smith";"+380665295233";"34";"89 Bayswater boulevard apartment-110  Seattle 41683-cod in USA";"den-1978@gmail.com"
"Frank Young";"+380996239620";"36";"14 Belle Harbor court apartment-46  Detroit 77589-cod in USA";"marya-1973@io.ua"
"Lena Walker";"+380986973158";"44";"40 Bayswater boulevard apartment-23  St. Louis 22142-cod in USA";"mery-2007@io.ua"
"Jek Thompson";"+380687867971";"53";"51 Rockaway Beach Boulevard street apartment-177  Fresno 19560-cod in USA";"ann1966@ukr.net"
"Julia Lewis";"+380992434681";"35";"54 Lafayette avenue apartment-168  Los Angeles 13810-cod in USA";"jon-1983@mail.ru"
"Bob Harries";"+380661122920";"25";"32 Cadman Plaza West lane apartment-90  Cleveland 46148-cod in USA";"marya_1964@gmail.com"
"Ann Flores";"+380508600642";"36";"62 Ferry Road avenue apartment-117  ColumbusFort Worth 17559-cod in USA";"german1950@io.ua"
"Zak Robinson";"+38063891964";"27";"91 Ozone Park street apartment-27  Boston 28442-cod in USA";"verona_2006@gmail.com"
