"0 name";"1 number phone";"2 age";"3 Address";"4 email"
"Den Brown";"+380509433751";"27";"62 Rockaway Point boulevard apartment-77  Honolulu 84049-cod in USA";"henry.1950@ukr.net"
"Marya Hill";"+3809973585";"17";"39 Breezy Point court apartment-150  Boston 93629-cod in USA";"mery_2003@io.ua"
"Sofia Thompson";"+380955318151";"39";"57 Clinton Hill street apartment-165  Santa Ana 32454-cod in USA";"jon_1992@gmail.com"
"Marina Lewis";"+380956893283";"22";"13 Bedford-Stuyvesant avenue apartment-30  Albuquerque 22818-cod in USA";"roman.1986@mail.ru"
"Kristina Perez";"+380681118017";"25";"87 Brownsville lane apartment-114  Colorado Springs 4659-cod in USA";"verona1997@io.ua"
"Verona Lopez";"+380681752841";"24";"45 Brownsville terrace apartment-113  St. Louis 99900-cod in USA";"julia1952@io.ua"
"Donald Martin";"+380686702793";"29";"2 Fort Greene street apartment-11  San Jose 64683-cod in USA";"olga.2000@gmail.com"
"Henry Scott";"+380996963003";"28";"1 Old Fulton lane apartment-60  Louisville 69405-cod in USA";"frank.1959@io.ua"
"Zak Davis";"+380996014837";"30";"2 Park terrace apartment-150  Mesa 77326-cod in USA";"henry-1989@gmail.com"
"Bob Williams";"+38095586050";"22";"9 Lafayette lane apartment-105  Jacksonville 38807-cod in USA";"clara1992@io.ua"
